Date,SP1,SP56337,SP56339,SP56373,SP56385,SP56386,SP74625,SP74626,SP74627,SP74628,SP74629,SP74630,SP74631,SP74640
12/1/1998,52.54326558,52.34840798,36.57054983,40.49138793,49.50711306,54.44643232,53.99780292,55.93544781,63.45703909,51.79316423,51.85882223,47.4407242,43.27235922,47.66563432
1/1/1999,53.87012062,54.41806284,36.77999613,40.8258573,53.80729264,54.82541112,55.29691371,57.53089359,64.4740895,52.76033441,53.08288595,48.79178606,44.030838,49.03060581
2/1/1999,54.59408022,53.58946761,37.17234049,41.41455239,50.81606744,55.63483841,56.30798717,58.57846846,65.71692467,53.72988143,54.40709782,48.8128112,44.7473608,49.93526242
3/1/1999,55.10129148,52.12665936,37.27345596,41.84067787,46.65220971,56.2182959,57.19612811,59.40782277,66.89538411,54.68301171,55.67023286,48.40182054,45.198773,50.42725024
4/1/1999,55.60697442,52.00914108,37.42371574,41.91494212,46.05619852,56.4631319,57.88114492,60.13772141,67.88396247,55.31738724,56.51767519,48.46635519,45.41214534,50.83921465
5/1/1999,55.94148549,52.34556732,37.53054922,40.47521913,46.74187832,56.53482109,58.44233184,60.77051363,68.77477108,55.7981795,57.01176159,48.2534891,44.75026197,51.26766052
6/1/1999,56.3090465,52.38089525,37.64214862,40.80577688,46.95205315,56.43774823,58.89660792,61.26744498,69.4491584,56.20447438,57.34838903,48.40460026,44.99568259,51.39561738
7/1/1999,56.68119247,52.65873411,37.69608214,41.35151466,48.14909485,56.01943825,59.28537432,61.53713675,69.77276016,56.72593849,58.06061599,48.72529461,45.35044397,51.48476493
8/1/1999,57.0002293,52.34200483,38.17428556,41.75177003,47.83462954,55.70131533,59.73372086,61.96604026,70.29120137,57.19566342,58.54755066,48.72817304,45.61496865,51.56064702
9/1/1999,57.55099768,52.02984585,43.18069914,42.44219386,47.20336111,55.63104873,60.46150604,62.36928302,70.79983258,58.28537051,59.12615517,48.84219682,46.07753645,51.70673437
10/1/1999,57.91550204,51.66354086,43.18221246,43.47499267,46.26568907,55.69765849,60.89621626,62.91204988,71.45072659,58.59907001,59.45885965,49.02855096,46.71574833,51.79511867
11/1/1999,58.43054594,51.64899452,43.18240863,45.67358181,46.18273363,55.73491489,61.28307058,63.39080942,72.12037944,58.88298844,59.78914037,49.83118176,48.18483574,52.25083649
12/1/1999,59.01589258,52.4796946,43.18966153,46.86463126,47.69476114,56.04898688,61.77787652,63.82440803,72.62529865,59.44578276,60.6028456,50.61280433,48.92379914,52.35993564
1/1/2000,59.80832658,52.97875738,43.55599959,47.3514124,48.19819407,56.54423667,62.57789183,64.56849855,73.20172443,60.30765733,61.70879812,51.36176907,49.87497585,53.97667911
2/1/2000,60.33884472,52.36135493,43.95331756,47.93139863,46.02169784,57.10774569,63.26642454,65.26178826,73.92649273,60.99035995,62.49631409,51.50136433,50.63386447,54.996226
3/1/2000,60.6733558,52.03720881,43.97502708,48.61142111,44.88677332,57.39771425,63.67561248,65.72963388,74.44722497,61.33372809,62.90689918,51.64839336,51.16616699,55.32587421
4/1/2000,61.01856512,52.51396569,43.98764253,48.92120481,46.26065281,57.19483662,64.01018368,66.04503148,74.819251,61.68946223,63.31104308,52.0081901,51.42906934,55.52548021
5/1/2000,61.24666691,53.29612885,44.16841307,47.98251967,47.4609631,57.65965725,64.29018972,66.34909237,75.22709977,61.94239203,63.49347748,52.10605145,50.96639817,55.72943203
6/1/2000,61.60945191,54.42987726,44.28921647,48.55009989,49.87978335,57.81941603,64.50600147,66.49658037,75.4694269,62.23434978,63.79829242,52.80563775,51.30832587,55.75667968
7/1/2000,61.84978026,54.58438792,44.37153213,49.19306103,50.33296715,57.74766469,64.72042275,66.64318854,75.67967208,62.52434776,64.19441563,53.09941777,51.71519012,55.8348316
8/1/2000,62.18964046,54.8916307,44.94940885,50.09716724,51.29486381,57.55900148,64.99095612,66.90537804,76.03938022,62.80399686,64.48064645,53.59315181,52.36003329,56.12085721
9/1/2000,62.64393363,54.85016841,49.69259263,51.04555779,51.45176177,57.36741565,65.49156236,67.13672179,76.25132708,63.60495569,64.71539892,53.92334313,52.99344085,56.31670391
10/1/2000,63.075302,55.28144718,49.73561173,52.31928175,52.79996887,57.1041123,65.8339817,67.3729463,76.51254544,64.06572262,65.44485574,54.55179744,53.7813237,56.42762577
11/1/2000,63.61460798,55.29636561,49.73561173,54.76309691,52.5178996,57.34384545,66.25248219,67.78563039,77.05045093,64.49040487,66.11364146,55.36052104,55.2373505,56.50570637
12/1/2000,64.30330726,57.76406968,49.73561173,55.59639264,57.34991649,58.01918881,66.62567814,68.095469,77.47833368,64.9340818,66.78451401,56.77462149,55.78440243,56.65481082
1/1/2001,64.65978794,57.05270985,50.11848975,56.27745312,54.84646887,58.66521987,67.12090834,68.61935079,77.86928593,65.39694019,67.19932948,56.79135987,56.3971647,57.17785339
2/1/2001,64.61699498,53.34891239,50.40265596,56.84760251,46.5974278,58.40607204,67.62711638,69.13868281,78.32391007,65.88811036,67.78526243,55.44906887,56.9924439,57.81504741
3/1/2001,65.02639374,54.10892075,50.40648154,56.7263536,47.75963089,58.86083678,68.0319511,69.4708846,78.57954115,66.37376182,68.50713148,55.85633154,57.10962941,58.26992817
4/1/2001,65.35440947,55.22018014,50.40931429,55.93517989,49.00704227,59.8679008,68.35967516,69.78910329,78.78355356,66.71185587,68.94763482,56.17461537,56.77771253,58.58240882
5/1/2001,65.50437588,55.81900845,50.56429196,54.13034561,49.46816099,60.57037444,68.6062271,69.99902807,78.88476123,66.99913005,69.28477259,56.09153563,56.13663423,59.57640226
6/1/2001,65.65930934,55.71005397,50.70569694,54.13018784,49.27903923,60.5222195,68.82643456,70.2045662,79.13869118,67.2355557,69.53865978,56.08680258,56.21723985,59.77183704
7/1/2001,65.4887106,55.21622591,50.75732297,52.17559313,48.59842113,60.17029723,68.93259121,70.1481907,79.01098562,67.52315834,69.89373946,55.2661764,55.13167602,59.90067473
8/1/2001,65.87671289,57.41654415,51.31169924,51.36817057,52.75695563,60.88595406,69.16243653,70.27282612,79.22064014,67.87033578,70.25969919,56.01616089,54.69192592,59.97492954
9/1/2001,66.48995136,58.48927682,56.67848123,52.36734601,54.49266443,61.45570648,69.68589442,70.42828366,79.40264523,68.80440548,70.48226957,56.82321306,55.27891038,59.98669191
10/1/2001,66.79045731,59.1696769,56.70613852,53.16586011,55.57803582,61.82884147,69.86153951,70.56445165,79.40781972,69.02400906,70.69318808,57.40970561,55.78666173,60.08969337
11/1/2001,67.04205702,58.67941105,56.70689518,55.23013791,54.72377425,61.61462853,70.02850274,70.69008191,79.50783336,69.23701004,70.9579621,57.85363897,56.99399333,60.10099549
12/1/2001,67.13490247,58.54587214,56.70689518,54.89523724,53.92358575,61.98590113,70.19623066,70.7548491,79.58304757,69.51960472,71.36679407,57.7662403,56.94464596,60.45402026
1/1/2002,67.7546363,60.14941952,56.97739921,54.42905949,57.56671389,62.04379485,70.54638324,70.8988804,79.48285555,70.09970299,72.14849414,59.00549534,57.88173044,63.38123224
2/1/2002,67.71107918,55.60694975,57.17827218,56.28753968,47.39186247,61.76982331,71.04547029,71.28111015,79.83256847,70.72892843,72.8649324,57.67774878,59.19001659,63.92740245
3/1/2002,68.05743473,55.64927838,57.26496712,57.49025156,47.78711433,61.54493423,71.33471323,71.4698866,79.84141348,71.13016116,73.3657375,58.14845172,60.00992574,64.21608217
4/1/2002,68.42919862,56.49520859,57.27530382,58.0339955,50.07422872,61.29898346,71.58908487,71.61976002,79.93576433,71.50105164,73.8196673,58.78639312,60.47556699,64.57657391
5/1/2002,68.56789368,57.02918388,57.2909991,57.54022354,51.94181754,60.82282788,71.72148331,71.66408927,79.89077753,71.73171162,73.99727333,58.93577727,60.30962124,64.87138132
6/1/2002,68.90221371,58.57923087,57.37670973,58.06682833,55.59755242,60.77722995,71.81218044,71.62078719,79.85120126,71.97199903,74.17439735,59.83672868,60.67631396,65.01642052
7/1/2002,69.10001172,59.89209051,57.43074414,57.85947648,58.45197271,60.94678352,71.90870972,71.5599742,79.75406056,72.22004485,74.42345744,60.31408768,60.58348406,65.11235007
8/1/2002,69.36274679,60.27439241,58.17084251,58.26748927,58.50771438,61.56824695,72.15098022,71.68632971,79.90344738,72.56579893,74.65197094,60.64165438,60.87610867,65.21313322
9/1/2002,69.77995076,59.88333532,62.40075391,59.13840506,57.70562351,61.47821694,72.62610973,71.73940185,79.91232095,73.41772196,74.79510236,60.87588556,61.50951406,65.45165985
